station id, station name, valid,povp. dnevna T [°C],oblačnost [%],močan veter,dež,sneg
_1895,LJUBLJANA - BEŽIGRAD,2012-07-04,26.2,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-05,20.9,53,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-06,19.3,77,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-07,23.8,47,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-08,25.3,10,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-09,24.1,23,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-10,23.2,37,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-11,23.5,43,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-12,20.4,93,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-13,19.2,87,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-14,23.8,50,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-15,17.1,77,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-16,19.2,53,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-17,21.1,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-18,23.1,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-19,24.6,13,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-20,24.8,43,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-21,16.4,90,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-22,17.3,90,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-23,20.1,77,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-24,20.7,70,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-25,20.4,70,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-26,23.2,53,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-27,26,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-28,26.5,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-29,24.7,37,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-30,23.5,53,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-07-31,23.8,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-01,25.1,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-02,26.3,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-03,26,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-04,26.6,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-05,27.9,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-06,27.5,13,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-07,24.8,43,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-08,23.7,40,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-09,21.2,50,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-10,21.5,63,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-11,17.8,43,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-12,19.2,37,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-13,22,60,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-14,23.4,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-15,24.7,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-16,22.1,50,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-17,22.7,23,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-18,24.2,10,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-19,24.5,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-20,24.7,0,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-21,25.7,17,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-22,28.5,17,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-23,24.5,37,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-24,27.3,3,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-25,26.2,13,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-26,15.5,97,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-27,17.3,30,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-28,20.2,17,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-29,21.4,30,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-30,22.5,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-08-31,17.4,97,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-01,15.2,97,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-02,18.5,67,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-03,21,87,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-04,22.3,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-05,21.4,53,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-06,19.4,63,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-07,17.8,23,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-08,18,10,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-09,19.7,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-10,20.4,47,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-11,21.3,23,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-12,17.5,80,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-13,10,100,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-14,13.5,90,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-15,16.2,63,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-16,14.5,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-17,15.3,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-18,17.4,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-19,13.9,87,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-20,11.7,27,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-21,13.2,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-22,14.1,17,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-23,15.5,83,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-24,17.5,80,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-25,18,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-26,17.9,83,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-27,19.5,67,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-28,15.4,63,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-29,17.8,70,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-09-30,16.4,97,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-01,17.6,67,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-02,15.7,90,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-03,16.4,47,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-04,16.2,80,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-05,15.9,63,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-06,16.4,53,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-07,15.1,60,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-08,11.3,43,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-09,13.7,67,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-10,11.1,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-11,10.9,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-12,11.8,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-13,11.3,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-14,12.2,67,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-15,14.4,87,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-16,13,80,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-17,14,63,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-18,14.2,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-19,14.3,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-20,12,40,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-21,12.5,47,ne,da,ne
